Model,Norm,Dataset,Batch Size,Trace,Eigen Mean,Eigen Variance,Max Eigen,Test Accuracy,Class Similarity,Mom & WD,Train Accuracy,SkipInit,Success,P Grouping,Gen. Ratio
ResNet-56,EvoNormBO,CIFAR-100,16,0.0009077816128551457,0.0598643266080971,0.9988031634406004,98.5648,52.922222222222224,0.26192418,True,58.526728553137005,False,True,32.0,0.9042402254582469
ResNet-56,EvoNormBO,CIFAR-100,256,0.0005882148335178572,0.1169323235611913,4.099307444371728,38.816572,62.98888888888889,0.16906063,True,98.41736469072166,False,True,32.0,0.6400180403817213
ResNet-56,EvoNormBO,CIFAR-100,256,9.937471438644219e-05,0.119201038406534,20.13222292841449,6.156179,63.91111111111111,0.7118008,True,99.96375644329896,True,True,32.0,0.6393428316928297
ResNet-56,EvoNormBO,CIFAR-100,16,0.0009965846790699296,0.0090488083549912,1.1835899377046064,359.6133,56.04444444444445,0.49930072,True,66.11715749039692,True,True,32.0,0.8476535678743379
ResNet-56,EvoNormBO,CIFAR-100,16,0.015961303280094565,-0.0148626500749215,31.63795731307373,4558.14,33.65555555555556,0.6416806,False,34.80713828425096,False,True,32.0,0.966915328709558
ResNet-56,EvoNormBO,CIFAR-100,256,0.0041958956247178285,0.2161951493700946,6.402920339704929,172.24245,52.77777777777778,0.48878443,False,94.93798324742268,False,True,32.0,0.5559184635324614
ResNet-56,EvoNormBO,CIFAR-100,256,0.0035593330428971117,0.1289681733530159,3.634072409928216,155.03547999999998,54.9,0.29269,False,91.56330541237114,True,True,32.0,0.5995851695474337
ResNet-56,EvoNormBO,CIFAR-100,16,0.0020952851728605584,0.0429186913710807,0.6846511378895481,2389.2876,24.466666666666665,0.5356861,False,24.78393085787452,True,True,32.0,0.987198794532343
VGG,EvoNormBO,CIFAR-10,16,8.745423720916288e-05,0.0838219135860858,7.201639101095406,9.113905,81.36666666666666,-0.012926899,True,96.75096030729834,False,True,32.0,0.8409907912875654
VGG,EvoNormBO,CIFAR-10,256,3.797209551063e-06,0.005443742740414,0.1677587254035446,2.4800212,83.9888888888889,0.0117095085,True,100.0,False,True,32.0,0.8398888888888889
VGG,EvoNormBO,CIFAR-10,256,3.425012093866823e-06,0.0075207069860001,0.2278986931693647,2.5016286,83.14444444444445,0.0064572315,True,100.0,True,True,32.0,0.8314444444444444
VGG,EvoNormBO,CIFAR-10,16,8.9640863408566e-05,0.0877434854769096,7.394997252544739,9.823864,82.38888888888889,-0.014615783,True,96.81898207426376,True,True,32.0,0.8509580159156553
VGG,EvoNormBO,CIFAR-10,16,0.0008120633576816572,0.0454991979736161,0.836175806248158,164.05902999999998,72.75555555555556,0.4339916,False,92.0414532650448,False,True,32.0,0.7904650890946594
VGG,EvoNormBO,CIFAR-10,256,2.5481717434621926e-05,0.0102399842150624,0.183350127620223,14.133213,74.46666666666667,0.5948237,False,100.0,False,True,32.0,0.7446666666666667
VGG,EvoNormBO,CIFAR-10,256,1.9924007297452496e-05,0.0066943792230881,0.1471265893917075,13.33035,73.87777777777778,0.36636826,False,100.0,True,True,32.0,0.7387777777777778
VGG,EvoNormBO,CIFAR-10,16,0.0007539565767814959,0.0412114716940867,0.6213774730793314,160.74357999999998,73.15555555555555,0.4233272,False,92.1694942381562,True,True,32.0,0.7937068133034272
